,Participant,Group,window,report,MW,MSD
144,13604,B,25,self,a,0.04344278295726801
145,13604,B,25,self,f,0.039460317858971944
146,13604,B,25,self,a,0.014849583202794297
147,13604,B,25,self,f,0.015821363084801084
148,13604,B,25,self,a,0.015760638042721497
149,13604,B,25,self,f,0.013520413067449813
150,13604,B,25,self,a,0.015283475048643051
151,13604,B,25,self,f,0.01749768021080867
152,13604,B,25,self,a,0.014564850744180777
153,13604,B,25,self,f,0.01791758065506657
154,13604,B,25,self,a,0.01199868533415057
155,13604,B,25,self,f,0.010927755479067101
156,13604,B,25,self,a,0.0141529139306614
157,13604,B,25,self,f,0.01930594764497121
158,13604,B,25,self,a,0.01619278181152877
159,13604,B,25,self,f,0.020237085837430883
160,13604,B,25,self,a,0.014001942899735935
161,13604,B,25,self,f,0.014451362811943808
162,13604,B,25,self,a,0.012610976493644134
163,13604,B,25,self,f,0.013716404705256719
164,13604,B,25,self,a,0.01908001131155416
165,13604,B,25,self,f,0.012394680376110502
166,13604,B,30,self,a,0.004895283527505336
167,13604,B,30,self,f,0.02746645912560165
168,13604,B,30,self,a,0.03357360424251545
169,13604,B,30,self,f,0.02013362080429576
170,13604,B,30,self,a,0.04157639773509287
171,13604,B,30,self,f,0.03503033385826
172,13604,B,30,self,a,0.014054152493296024
173,13604,B,30,self,f,0.01459699249478524
174,13604,B,30,self,a,0.014592640602620941
175,13604,B,30,self,f,0.015439222066184801
176,13604,B,30,self,a,0.015337651875037507
177,13604,B,30,self,f,0.01723796814165306
178,13604,B,30,self,a,0.016742616643399575
179,13604,B,30,self,f,0.016482757604706078
180,13604,B,30,self,a,0.012374880026972884
181,13604,B,30,self,f,0.011561683919913824
182,13604,B,30,self,a,0.013007804658894073
183,13604,B,30,self,f,0.019314300047282927
184,13604,B,30,self,a,0.01578155006656325
185,13604,B,30,self,f,0.021431038623126265
186,13604,B,30,self,a,0.0168638974810714
187,13604,B,30,self,f,0.01450946903331641
188,13604,B,30,self,a,0.013361448942337203
189,13604,B,30,self,f,0.013392576728465347
190,13604,B,30,self,a,0.018706980262193453
191,13604,B,30,self,f,0.013377252597060369
192,15496,A,5,self,a,0.01659861830519841
193,15496,A,5,self,f,0.016127695652902237
194,15496,A,5,self,a,0.014448336330716753
195,15496,A,5,self,f,0.015372502653806087
196,15496,A,5,self,a,0.015330751700338728
197,15496,A,5,self,f,0.022574750535727738
198,15496,A,5,self,a,0.013045466393856496
199,15496,A,5,self,f,0.012552528420951756
200,15496,A,5,self,a,0.01711613993520232
201,15496,A,5,self,f,0.025127384570836887
202,15496,A,5,self,a,0.01667495912003312
203,15496,A,5,self,f,0.0110672584842925
204,15496,A,5,self,a,0.01783753157242754
205,15496,A,5,self,f,0.01348863474391267
206,15496,A,5,self,a,0.0155194223257999
207,15496,A,5,self,f,0.025196017916383158
208,15496,A,5,self,a,0.020175766377489322
209,15496,A,5,self,f,0.020918833728514243
210,15496,A,10,self,a,0.013597797189716338
211,15496,A,10,self,f,0.02156603414998865
212,15496,A,10,self,a,0.019225349888822827
213,15496,A,10,self,f,0.012921613656688419
214,15496,A,10,self,a,0.01403013116190656
215,15496,A,10,self,f,0.020622584687179406
216,15496,A,10,self,a,0.016455563074241127
217,15496,A,10,self,f,0.011043033350207654
218,15496,A,10,self,a,0.01694201931810317
219,15496,A,10,self,f,0.020146231125856062
220,15496,A,10,self,a,0.016020952690789767
221,15496,A,10,self,f,0.014773881125215424
222,15496,A,10,self,a,0.01868460156092312
223,15496,A,10,self,f,0.013442937618234374
224,15496,A,10,self,a,0.016529273211843012
225,15496,A,10,self,f,0.021910229981164937
226,15496,A,10,self,a,0.022956969685742647
227,15496,A,10,self,f,0.02907934197991098
228,15496,A,15,self,a,0.012625024766736548
229,15496,A,15,self,f,0.025194132116224986
230,15496,A,15,self,a,0.02642041749807368
231,15496,A,15,self,f,0.01844736586399863
232,15496,A,15,self,a,0.015112276882099809
233,15496,A,15,self,f,0.019422064096786363
234,15496,A,15,self,a,0.01739420894420469
235,15496,A,15,self,f,0.013378804899721933
236,15496,A,15,self,a,0.01863483586777258
237,15496,A,15,self,f,0.031441294079819555
238,15496,A,15,self,a,0.015391094787420909
239,15496,A,15,self,f,0.016560185577196122
240,15496,A,15,self,a,0.017746215246342803
241,15496,A,15,self,f,0.013846588219960689
242,15496,A,15,self,a,0.017988172497847555
243,15496,A,15,self,f,0.021116334089627892
244,15496,A,15,self,a,0.023651752869482973
245,15496,A,15,self,f,0.02742921648696336
246,15496,A,20,self,a,0.011668768321974164
247,15496,A,20,self,f,0.024332443789459885
248,15496,A,20,self,a,0.023835253246192362
249,15496,A,20,self,f,0.017436494440291675
250,15496,A,20,self,a,0.016012918236490866
251,15496,A,20,self,f,0.018963258845780873
252,15496,A,20,self,a,0.021745108216414125
253,15496,A,20,self,f,0.013647723062811595
254,15496,A,20,self,a,0.01863360994229292
255,15496,A,20,self,f,0.030953421800142635
256,15496,A,20,self,a,0.013759299636465138
257,15496,A,20,self,f,0.016586014561407226
258,15496,A,20,self,a,0.01843493770097177
