,Participant,Group,window,report,MW,MSD
125,43300,A,30,probe,f,1.0671658444867655
126,43300,A,30,probe,f,0.9776952368785153
127,43300,A,30,probe,a,0.9561648913514932
128,44055,B,30,probe,f,0.9466872716297136
129,44055,B,30,probe,u,0.9745752875536123
130,44055,B,30,probe,f,1.007159622460991
131,44055,B,30,probe,a,1.117243824181658
132,44055,B,30,probe,a,1.3168710410350435
133,44055,B,30,probe,a,1.3730917640048685
134,49612,A,30,probe,a,0.9391426752482747
135,49612,A,30,probe,u,0.9380683788624179
136,49612,A,30,probe,f,0.9832305373026845
137,49612,A,30,probe,f,0.9389922513104254
138,49612,A,30,probe,a,0.940424553246787
139,49612,A,30,probe,a,1.0486372035023939
140,53452,B,30,probe,f,0.9393659464688595
141,53452,B,30,probe,u,0.9240962520055782
142,53452,B,30,probe,u,1.0178510568884842
143,53452,B,30,probe,a,1.0032399154389795
144,53452,B,30,probe,u,1.3663740648241987
145,53452,B,30,probe,a,0.9549896161008038
146,55139,B,30,probe,a,0.9531009937146545
147,55139,B,30,probe,u,0.9740530912197517
148,55139,B,30,probe,f,0.957955020629074
149,55139,B,30,probe,a,0.9562955248482592
150,55139,B,30,probe,a,1.0050634076562301
151,59109,B,30,probe,a,0.950633433225486
152,59109,B,30,probe,f,0.9843565843639915
153,59109,B,30,probe,f,0.9420853291866756
154,59109,B,30,probe,a,0.9566061434457761
155,59109,B,30,probe,a,0.9298457688967279
156,61528,B,30,probe,f,0.9435957173758813
157,61528,B,30,probe,u,0.9580979895243477
158,61528,B,30,probe,a,0.9510393120701863
159,61528,B,30,probe,f,0.9570913429917234
160,61528,B,30,probe,a,0.9925582703140098
161,61528,B,30,probe,u,0.9266300890909407
162,62013,B,30,probe,f,0.9534646993618552
163,62013,B,30,probe,a,0.9308094353885453
164,62013,B,30,probe,a,0.9599893700344043
165,62013,B,30,probe,f,0.9209685351253797
166,62013,B,30,probe,u,0.9440380988779656
167,62013,B,30,probe,f,0.9626034105279121
168,62336,A,30,probe,f,0.9608279682035914
169,62336,A,30,probe,a,0.9835771488954134
170,62336,A,30,probe,f,1.0082518861681722
171,62336,A,30,probe,f,0.9221126171222107
172,62336,A,30,probe,f,0.9340378525170636
173,62336,A,30,probe,f,0.9459725362806071
174,62556,A,30,probe,f,0.18654743699790657
175,62556,A,30,probe,f,0.12431806093826323
176,62556,A,30,probe,f,0.13283495066085266
177,62556,A,30,probe,f,0.2604287850201945
178,62556,A,30,probe,f,0.25193997357637776
179,62556,A,30,probe,f,0.23845699987961166
180,63183,A,30,probe,a,0.9718602449224333
181,63183,A,30,probe,u,0.9548473170526175
182,63183,A,30,probe,u,0.9493650217406163
183,63183,A,30,probe,a,0.9430892558306727
184,63183,A,30,probe,u,0.9362837566102915
185,63183,A,30,probe,a,0.940843700309215
186,64922,A,30,probe,a,0.9139091918303023
187,64922,A,30,probe,f,0.9789204715047571
188,64922,A,30,probe,f,0.9682439985249226
189,64922,A,30,probe,f,0.9268148520214992
190,64922,A,30,probe,u,0.9741362888687618
191,64922,A,30,probe,a,0.9687899477404246
192,67083,A,30,probe,u,0.9963987835658301
193,67083,A,30,probe,f,0.9689443924306529
194,67083,A,30,probe,a,1.0075521387730948
195,67083,A,30,probe,a,0.9742326566397898
196,67083,A,30,probe,f,1.038416607136016
197,67083,A,30,probe,f,0.9224555871544841
198,70417,A,30,probe,a,0.93246078382746
199,70417,A,30,probe,f,0.9909828095042577
200,70417,A,30,probe,u,0.9360363458712148
201,70417,A,30,probe,f,0.9674533191986477
202,70417,A,30,probe,a,0.8908032846869156
203,70417,A,30,probe,u,0.9340044103144627
204,71122,A,30,probe,f,0.9392032280319823
205,71122,A,30,probe,u,1.2054946938225413
206,71122,A,30,probe,u,1.0063860339233457
207,71122,A,30,probe,a,0.9394580921910387
208,71122,A,30,probe,f,0.9246220079829294
209,71122,A,30,probe,a,0.9517906710759101
210,73076,A,30,probe,a,0.9591030329489018
211,73076,A,30,probe,a,0.9487204906551737
212,73076,A,30,probe,a,0.9252550054845085
213,73076,A,30,probe,u,0.9454716158322394
214,73076,A,30,probe,a,0.9460478336327409
215,73076,A,30,probe,a,0.9096987119895901
216,73813,A,30,probe,a,0.9335241630098688
217,73813,A,30,probe,f,0.9703388766801927
218,73813,A,30,probe,u,0.9453509940154098
219,73813,A,30,probe,u,0.9114524143243712
220,73813,A,30,probe,a,0.9427085245549172
221,73813,A,30,probe,f,0.9296446082003669
222,75795,B,30,probe,a,0.9566104369689773
223,75795,B,30,probe,a,0.9576447393274216
224,75795,B,30,probe,a,0.9969918738646065
225,75795,B,30,probe,a,0.9663290330636817
226,75795,B,30,probe,a,0.9311911380422748
227,75795,B,30,probe,a,0.9256714350024224
228,78621,B,30,probe,f,0.9512701332129581
229,78621,B,30,probe,a,0.9570647879095071
230,78621,B,30,probe,u,0.9371809454470206
231,78621,B,30,probe,a,0.9586632405970948
232,78621,B,30,probe,a,0.9299662046380961
233,78621,B,30,probe,f,0.9398750140807848
234,78652,A,30,probe,f,0.9247445091369311
235,78652,A,30,probe,a,0.9365669484583996
236,78652,A,30,probe,a,0.9722526456788637
237,78652,A,30,probe,a,0.9686845686118732
238,78652,A,30,probe,a,0.950486742307356
239,78652,A,30,probe,a,0.9762124246878313
240,78992,B,30,probe,f,0.9397146616249948
241,78992,B,30,probe,f,0.9378838823548569
242,78992,B,30,probe,f,0.9563687786520813
243,78992,B,30,probe,a,0.9633243974868371
244,78992,B,30,probe,f,0.938317948184429
245,78992,B,30,probe,a,0.9698303493934765
246,86901,B,30,probe,f,0.9364217944348523
247,86901,B,30,probe,a,0.9109431865992834
248,86901,B,30,probe,a,0.9215930604959551
