,Participant,Group,window,report,MW,MSD
112,11003,B,5,self,a,0.036613025585561614
113,11003,B,5,self,f,0.12432532183666711
114,11003,B,5,self,a,0.10618306186828388
115,11003,B,5,self,f,0.09761238983888078
116,11003,B,5,self,a,0.11173800373215649
117,11003,B,5,self,f,0.061146435413319926
118,11003,B,5,self,a,0.026519066077980158
119,11003,B,5,self,f,0.03973236396339881
120,11003,B,5,self,a,0.04524021728594008
121,11003,B,5,self,f,0.027691074248915624
122,11003,B,5,self,a,0.025087540935773315
123,11003,B,5,self,f,0.011293044426613857
124,11003,B,5,self,a,0.011286860057470881
125,11003,B,5,self,f,0.031274729431348035
126,11003,B,5,self,a,0.01225958573961403
127,11003,B,5,self,f,0.05207773312986854
128,11003,B,5,self,a,0.011711369387301072
129,11003,B,5,self,f,0.021083245407834537
130,11003,B,5,self,a,0.012164095398482061
131,11003,B,5,self,f,0.0
132,11003,B,5,self,a,0.012267207888621024
133,11003,B,5,self,f,0.0
134,11003,B,5,self,a,0.01229688668974714
135,11003,B,5,self,f,0.0
136,11003,B,10,self,a,0.021942861072783947
137,11003,B,10,self,f,0.019886521116373304
138,11003,B,10,self,a,0.017786806142560632
139,11003,B,10,self,f,0.22630431663897502
140,11003,B,10,self,a,0.22726330316439813
141,11003,B,10,self,f,0.178815289494246
142,11003,B,10,self,a,0.1864170098689691
143,11003,B,10,self,f,0.019608597177924687
144,11003,B,10,self,a,0.017021491291827825
145,11003,B,10,self,f,0.034626377753839054
146,11003,B,10,self,a,0.016396920748832797
147,11003,B,10,self,f,0.0656358626068648
148,11003,B,10,self,a,0.07225645754017919
149,11003,B,10,self,f,0.023802256139215477
150,11003,B,10,self,a,0.0349340063061152
151,11003,B,10,self,f,0.013387015989948974
152,11003,B,10,self,a,0.022202485399693248
153,11003,B,10,self,f,0.04787484592767901
154,11003,B,10,self,a,0.054135340790058495
155,11003,B,10,self,f,0.019445863476323055
156,11003,B,10,self,a,0.056080413598585184
157,11003,B,10,self,f,0.019638851390171706
158,11003,B,10,self,a,0.04920182121018954
159,11003,B,10,self,f,0.017846401005482713
160,11003,B,10,self,a,0.019645700604109813
161,11003,B,10,self,f,0.023189525080593697
162,11003,B,10,self,a,0.017381405210076962
