,Participant,Group,window,report,MW,MSD
120,17431,A,15,probe,a,0.011234217468491571
121,17431,A,15,probe,f,0.019714439095297305
122,17431,A,15,probe,f,0.019604256872720858
123,17431,A,15,probe,a,0.020197356611947995
124,17431,A,15,probe,a,0.015159127266537866
125,17431,A,15,probe,u,0.021135622441628945
126,17431,A,20,probe,a,0.011866662728169929
127,17431,A,20,probe,f,0.019842477269424567
128,17431,A,20,probe,f,0.01827661372204844
129,17431,A,20,probe,a,0.01950076652392086
130,17431,A,20,probe,a,0.015484627624650095
131,17431,A,20,probe,u,0.01979212142051176
132,17431,A,25,probe,a,0.013271421821420902
133,17431,A,25,probe,f,0.019571566093768995
134,17431,A,25,probe,f,0.01841752809934594
135,17431,A,25,probe,a,0.018976343177911546
136,17431,A,25,probe,a,0.014977378800916782
137,17431,A,25,probe,u,0.018619520018654415
138,17431,A,30,probe,a,0.013733512061106637
139,17431,A,30,probe,f,0.019069929220214537
140,17431,A,30,probe,f,0.01812905139368033
141,17431,A,30,probe,a,0.019014897174019624
142,17431,A,30,probe,a,0.01682731178547793
143,17431,A,30,probe,u,0.01827715576585297
144,17713,A,5,probe,a,0.014489624502700717
145,17713,A,5,probe,f,0.01918830923515712
146,17713,A,5,probe,f,0.010907682155629265
147,17713,A,5,probe,a,0.0664453161602624
148,17713,A,5,probe,u,0.019865663768190003
149,17713,A,5,probe,f,0.009757567900313659
150,17713,A,10,probe,a,0.015288748734599655
151,17713,A,10,probe,f,0.019784915501361765
152,17713,A,10,probe,f,0.014020490965874656
153,17713,A,10,probe,a,0.03850804978334227
154,17713,A,10,probe,u,0.015451197565877694
155,17713,A,10,probe,f,0.014889855802751177
156,17713,A,15,probe,a,0.0151756735210802
157,17713,A,15,probe,f,0.020720406547936634
158,17713,A,15,probe,f,0.014713060105365574
159,17713,A,15,probe,a,0.030833768310071605
160,17713,A,15,probe,u,0.01627686810255406
161,17713,A,15,probe,f,0.017894109286809727
162,17713,A,20,probe,a,0.017092710830943415
163,17713,A,20,probe,f,0.032978214557352024
164,17713,A,20,probe,f,0.01361685876190322
165,17713,A,20,probe,a,0.02669177080376627
166,17713,A,20,probe,u,0.0152614616573059
167,17713,A,20,probe,f,0.020435914628466955
168,17713,A,25,probe,a,0.016472634899332848
169,17713,A,25,probe,f,0.032941320238674215
170,17713,A,25,probe,f,0.013012247668342691
171,17713,A,25,probe,a,0.024779579659118478
172,17713,A,25,probe,u,0.01533106380960577
173,17713,A,25,probe,f,0.020828985346028547
174,17713,A,30,probe,a,0.016525315264600247
175,17713,A,30,probe,f,0.039562662858855596
176,17713,A,30,probe,f,0.01332279820389921
177,17713,A,30,probe,a,0.022889334881082916
178,17713,A,30,probe,u,0.01562435416368546
179,17713,A,30,probe,f,0.01966525384440023
180,17996,B,5,probe,f,0.014887839875451286
